"skill_id","skill_name","local_icon_path","suggested_wiki_filename","notes"
"52","Smite","public/assets/icons/smite.png","Smite icon.png",""
"57","Soul Bomb","public/assets/icons/soul_bomb.png","Soul Bomb icon.png",""
"33","Soul Shot","public/assets/icons/soul_shot.png","Soul Shot icon.png",""
"53","Star Fall","public/assets/icons/star_fall.png","Star Fall icon.png",""
"3","Taunt","public/assets/icons/taunt.png","Taunt icon.png",""
"18","Triple Throw","public/assets/icons/triple_throw.png","Triple Throw icon.png",""
"43","True Shot","public/assets/icons/true_shot.png","True Shot icon.png",""
"100","Undying","public/assets/icons/undying.png","Undying icon.png",""
"21","Upward Strike","public/assets/icons/upward_strike.png","Upward Strike icon.png",""
"88","Vanguard","public/assets/icons/vanguard_icon.png","Vanguard icon.png",""
"55","Whirlwind","public/assets/icons/whirlwind_icon.png","Whirlwind icon.png",""
